date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-13,09:33:01,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1420.73,1424.44,1415.16,3.71,87,323.15,ACTIVE_AM
2026-04-13,09:48:01,HDFCLIFE,Insurance,LONG,PDL_BASE,Baseline,605.63,603.83,608.32,1.8,206,369.9,ACTIVE_AM
2026-04-13,10:15:01,HINDUNILVR,FMCG,SHORT,PDL_BASE,Baseline,2120.87,2126.15,2112.95,5.28,58,306.43,ACTIVE_AM
2026-04-13,10:36:01,BAJAJFINSV,Finance,SHORT,PDL_BASE,Baseline,1775.65,1780.12,1768.95,4.47,70,312.85,ACTIVE_AM
2026-04-13,11:54:01,SBIN,Banking,SHORT,PDL_BASE,Baseline,1045.98,1047.68,1043.44,1.69,119,201.7,ACTIVE_AM
2026-04-13,12:45:02,SHRIRAMFIN,Finance,SHORT,PDL_BASE,Baseline,1011.04,1013.14,1007.89,2.1,123,258.66,ACTIVE_AM
2026-04-13,13:54:01,AXISBANK,Banking,LONG,PDL_BASE,Baseline,1358.83,1356.54,1362.27,2.29,91,208.66,ACTIVE_AM
2026-04-13,14:12:01,JSWSTEEL,Steel,SHORT,PDL_BASE,Baseline,1203.73,1205.47,1201.11,1.75,103,179.89,ACTIVE_AM
2026-04-13,14:18:01,TRENT,Retail,SHORT,PDL_BASE,Baseline,3870.72,3876.56,3861.94,5.85,32,187.13,ACTIVE_AM
