date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-10,10:54:01,POWERGRID,Power,SHORT,PDL_BASE,Baseline,296.93,297.59,295.3,0.66,841,551.18,295.45,63.1,1.3,ACTIVE_AM
2026-03-10,10:54:02,POWERGRID,Power,SHORT,PDL_BC50,BodyClose50,296.93,297.59,295.3,0.66,841,551.18,295.45,63.1,1.3,ACTIVE_AM
2026-03-10,11:51:01,AXISBANK,Banking,SHORT,PDL_BASE,Baseline,1313.26,1315.68,1307.19,2.43,190,460.8,1303.02,56.5,0.8,ACTIVE_AM
2026-03-10,11:51:02,AXISBANK,Banking,SHORT,PDL_BC50,BodyClose50,1313.26,1315.68,1307.19,2.43,190,460.8,1303.02,56.5,0.8,ACTIVE_AM
2026-03-10,11:51:03,HDFCBANK,Banking,SHORT,PDL_BASE,Baseline,854.96,856.36,851.45,1.4,292,409.98,850.29,43.8,0.9,ACTIVE_AM
2026-03-10,11:51:03,HDFCBANK,Banking,SHORT,PDL_BC50,BodyClose50,854.96,856.36,851.45,1.4,292,409.98,850.29,43.8,0.9,ACTIVE_AM
