date,time,symbol,sector,direction,trigger,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-05,10:42:01,TITAN,Consumer,LONG,MOM,4226.0,4214.51,4246.11,8.21,59,677.99,4203.22,78.5,1.9,ACTIVE_AM
2026-03-05,11:36:01,APOLLOHOSP,Healthcare,SHORT,MOM,7674.5,7691.84,7644.15,12.39,32,555.01,7710.76,48.7,1.7,ACTIVE_AM
2026-03-05,12:09:01,HINDUNILVR,FMCG,LONG,MOM,2242.1,2236.18,2252.45,4.23,111,656.68,2240.81,67.1,2.4,ACTIVE_AM
2026-03-05,12:09:02,AXISBANK,Banking,SHORT,MOM,1344.4,1347.12,1339.63,1.95,185,504.01,1347.83,33.8,2.0,ACTIVE_AM
