date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-17,09:36:01,BAJAJFINSV,Finance,SHORT,PDL_BASE,Baseline,1822.54,1827.13,1815.65,4.59,68,312.39,ACTIVE_AM
2026-04-17,09:48:01,HINDUNILVR,FMCG,LONG,PDL_BASE,Baseline,2164.18,2159.42,2171.31,4.75,57,271.0,ACTIVE_AM
2026-04-17,10:39:01,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1434.83,1437.5,1430.84,2.66,87,231.61,ACTIVE_AM
2026-04-17,11:06:01,SHRIRAMFIN,Finance,LONG,PDL_BASE,Baseline,1034.56,1032.48,1037.67,2.08,120,249.08,ACTIVE_AM
2026-04-17,11:54:01,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1434.92,1436.71,1432.24,1.79,87,155.5,ACTIVE_AM
2026-04-17,13:03:01,TRENT,Retail,LONG,PDL_BASE,Baseline,4096.14,4087.71,4108.79,8.43,30,252.97,ACTIVE_AM
