date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-20,09:45:01,BAJAJ-AUTO,Auto,SHORT,PDL_BASE,Baseline,9719.94,9740.52,9689.08,20.57,12,246.88,ACTIVE_AM
2026-04-20,09:45:12,HDFCLIFE,Insurance,SHORT,PDL_BASE,Baseline,606.03,607.75,603.44,1.73,206,355.85,ACTIVE_AM
2026-04-20,09:51:01,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1429.69,1432.75,1425.12,3.05,87,265.51,ACTIVE_AM
2026-04-20,10:09:01,ADANIPORTS,Ports,LONG,PDL_BASE,Baseline,1578.89,1574.97,1584.78,3.92,79,309.97,ACTIVE_AM
2026-04-20,10:21:02,SHRIRAMFIN,Finance,LONG,PDL_BASE,Baseline,1039.77,1037.03,1043.89,2.74,120,329.31,ACTIVE_AM
2026-04-20,10:42:01,ADANIENT,Infra,LONG,PDL_BASE,Baseline,2240.55,2235.02,2248.85,5.53,55,304.11,ACTIVE_AM
2026-04-20,11:12:02,COALINDIA,Mining,LONG,PDL_BASE,Baseline,440.23,439.4,441.48,0.83,283,235.18,ACTIVE_AM
2026-04-20,11:45:01,TCS,IT,LONG,PDL_BASE,Baseline,2589.36,2585.8,2594.7,3.56,48,170.93,ACTIVE_AM
2026-04-20,12:45:01,BAJAJ-AUTO,Auto,LONG,PDL_BASE,Baseline,9831.24,9818.85,9849.82,12.39,12,148.68,ACTIVE_AM
