date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-18,09:33:01,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1169.61,1166.53,1175.75,3.07,213,654.4,1166.09,70.3,1.6,ACTIVE_AM
2026-03-18,09:42:01,APOLLOHOSP,Healthcare,LONG,PDL_BASE,Baseline,7576.35,7557.87,7613.29,18.47,32,591.12,7579.45,61.2,0.3,ACTIVE_AM
2026-03-18,09:57:01,HDFCBANK,Banking,SHORT,PDL_BASE,Baseline,834.9,836.87,830.98,1.96,299,586.88,837.33,24.1,0.6,ACTIVE_AM
2026-03-18,10:15:01,POWERGRID,Power,LONG,PDL_BASE,Baseline,302.08,301.3,303.64,0.78,827,647.56,302.62,58.4,1.0,ACTIVE_AM
