date,time,symbol,sector,direction,trigger,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-02,10:51:20,BAJAJ-AUTO,Auto,SHORT,MOM,9719.0,9749.95,9664.83,25.8,16,412.73,9811.93,20.8,2.2,ACTIVE_AM
2026-03-02,11:03:07,BAJFINANCE,Finance,LONG,MOM,980.8,977.47,986.63,2.78,150,416.56,979.42,68.3,4.5,ACTIVE_AM
2026-03-02,11:06:03,POWERGRID,Power,LONG,MOM,296.75,295.69,298.6,0.88,473,416.58,296.43,45.9,5.5,ACTIVE_AM
2026-03-02,11:43:21,INDIGO,Aviation,SHORT,MOM,4608.9,4628.81,4574.06,16.59,25,414.79,4619.27,39.4,2.3,ACTIVE_AM
