date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-20,10:00:01,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1166.27,1162.57,1173.67,3.7,202,747.62,1161.79,76.9,0.4,ACTIVE_AM
2026-03-20,11:27:01,APOLLOHOSP,Healthcare,LONG,PDL_BASE,Baseline,7408.42,7394.24,7436.77,14.18,33,467.84,7304.12,82.0,1.0,ACTIVE_AM
2026-03-20,12:00:01,HINDALCO,Metals,SHORT,PDL_BASE,Baseline,891.92,894.25,887.25,2.33,280,653.12,898.25,26.5,1.0,ACTIVE_AM
2026-03-20,11:24:00,APOLLOHOSP,Healthcare,LONG,PDL_BASE,Baseline,7408.48,7393.67,7438.11,14.81,6,88.88,7295.31,83.2,1.0,ACTIVE_AM
2026-03-20,09:36:00,SHRIRAMFIN,Finance,SHORT,PDL_BASE,Baseline,945.81,950.74,935.94,4.93,30,147.96,957.9,31.2,1.9,ACTIVE_AM
2026-03-20,09:57:00,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1166.28,1162.5,1173.83,3.77,39,147.22,1159.81,77.7,0.4,ACTIVE_AM
2026-03-20,11:24:00,APOLLOHOSP,Healthcare,LONG,PDL_BASE,Baseline,7408.48,7393.67,7438.11,14.81,6,88.88,7295.31,83.2,1.0,ACTIVE_AM
2026-03-20,09:36:00,SHRIRAMFIN,Finance,SHORT,PDL_BASE,Baseline,945.81,950.74,935.94,4.93,30,147.96,957.9,31.2,1.9,ACTIVE_AM
2026-03-20,09:57:00,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1166.28,1162.5,1173.83,3.77,39,147.22,1159.81,77.7,0.4,ACTIVE_AM
