date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-11,10:03:01,HINDUNILVR,FMCG,SHORT,PDL_BASE,Baseline,2174.57,2178.9,2163.73,4.34,114,494.2,2180.25,25.4,0.4,ACTIVE_AM
2026-03-11,10:03:02,HINDUNILVR,FMCG,SHORT,PDL_BC50,BodyClose50,2174.57,2178.9,2163.73,4.34,114,494.2,2180.25,25.4,0.4,ACTIVE_AM
2026-03-11,10:45:01,TRENT,Retail,SHORT,PDL_BASE,Baseline,3689.29,3696.4,3671.5,7.11,67,476.64,3707.53,34.6,1.2,ACTIVE_AM
2026-03-11,10:45:02,TRENT,Retail,SHORT,PDL_BC50,BodyClose50,3689.29,3696.4,3671.5,7.11,67,476.64,3707.53,34.6,1.2,ACTIVE_AM
2026-03-11,11:00:02,TATASTEEL,Steel,LONG,PDL_BASE,Baseline,196.68,196.28,197.67,0.4,1271,504.91,197.21,62.6,1.1,ACTIVE_AM
2026-03-11,11:00:02,TATASTEEL,Steel,LONG,PDL_BC50,BodyClose50,196.68,196.28,197.67,0.4,1271,504.91,197.21,62.6,1.1,ACTIVE_AM
2026-03-11,11:21:01,AXISBANK,Banking,SHORT,PDL_BASE,Baseline,1284.37,1286.64,1278.69,2.27,194,440.67,1293.8,22.9,0.5,ACTIVE_AM
2026-03-11,11:21:03,AXISBANK,Banking,SHORT,PDL_BC50,BodyClose50,1284.37,1286.64,1278.69,2.27,194,440.67,1293.8,22.9,0.5,ACTIVE_AM
