date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-16,09:33:01,INFY,IT,SHORT,PDL_BASE,Baseline,1242.21,1246.11,1234.4,3.9,192,749.69,1243.83,34.6,0.5,ACTIVE_AM
2026-03-16,09:33:02,HDFCBANK,Banking,LONG,PDL_BASE,Baseline,824.01,821.89,828.26,2.12,303,643.4,820.04,86.8,0.7,ACTIVE_AM
2026-03-16,09:51:01,POWERGRID,Power,SHORT,PDL_BASE,Baseline,298.59,299.65,296.48,1.06,708,749.24,299.91,34.0,0.4,ACTIVE_AM
2026-03-16,10:00:01,HDFCLIFE,Insurance,SHORT,PDL_BASE,Baseline,623.84,625.42,620.68,1.58,400,632.39,625.75,32.6,0.4,ACTIVE_AM
2026-03-16,10:21:01,WIPRO,IT,SHORT,PDL_BASE,Baseline,195.99,196.47,195.04,0.48,1275,607.54,197.04,25.0,1.4,ACTIVE_AM
2026-03-16,10:27:01,TRENT,Retail,SHORT,PDL_BASE,Baseline,3468.92,3481.73,3443.31,12.81,58,742.76,3485.66,37.0,0.5,ACTIVE_AM
2026-03-16,10:36:01,APOLLOHOSP,Healthcare,SHORT,PDL_BASE,Baseline,7483.82,7500.59,7450.28,16.77,33,553.4,7567.0,11.6,1.6,ACTIVE_AM
