date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-03-30,09:42:01,POWERGRID,Power,LONG,PDL_BASE,Baseline,297.38,296.59,298.96,0.79,168,132.48,ACTIVE_AM
2026-03-30,09:45:02,TRENT,Retail,SHORT,PDL_BASE,Baseline,3372.12,3386.89,3342.6,14.76,10,147.63,ACTIVE_AM
2026-03-30,09:45:07,BAJAJFINSV,Finance,SHORT,PDL_BASE,Baseline,1679.45,1685.96,1666.44,6.51,23,149.66,ACTIVE_AM
2026-03-30,09:57:02,TCS,IT,SHORT,PDL_BASE,Baseline,2384.36,2390.8,2371.46,6.45,20,129.0,ACTIVE_AM
2026-03-30,10:09:02,NESTLEIND,FMCG,SHORT,PDL_BASE,Baseline,1187.97,1191.25,1181.42,3.28,42,137.69,ACTIVE_AM
2026-03-30,10:12:02,JSWSTEEL,Steel,SHORT,PDL_BASE,Baseline,1126.55,1130.07,1119.5,3.53,42,148.08,ACTIVE_AM
2026-03-30,10:45:02,HDFCLIFE,Insurance,SHORT,PDL_BASE,Baseline,599.84,601.43,596.65,1.59,83,132.25,ACTIVE_AM
