date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-06,10:00:01,AXISBANK,Banking,SHORT,PDL,,1324.6,1329.12,1313.31,3.76,166,749.57,1333.85,23.1,1.4,ACTIVE_AM
2026-03-06,10:45:00,HINDUNILVR,FMCG,SHORT,PDL_BASE,Baseline,2228.06,2231.49,2219.46,3.44,112,385.08,2237.87,25.9,1.0,ACTIVE_AM
2026-03-06,10:45:00,HINDUNILVR,FMCG,SHORT,PDL_BC50,BodyClose50,2228.06,2231.49,2219.46,3.44,112,385.08,2237.87,25.9,1.0,ACTIVE_AM
2026-03-06,09:30:00,AXISBANK,Banking,SHORT,PDL_BASE,Baseline,1334.92,1338.74,1325.35,3.83,187,715.39,1340.05,30.2,0.4,ACTIVE_AM
2026-03-06,09:30:00,AXISBANK,Banking,SHORT,PDL_BC50,BodyClose50,1334.92,1338.74,1325.35,3.83,187,715.39,1340.05,30.2,0.4,ACTIVE_AM
2026-03-06,11:48:00,BAJAJ-AUTO,Auto,LONG,PDL_BASE,Baseline,9854.96,9835.34,9904.02,19.62,25,490.57,9774.82,89.1,1.6,ACTIVE_AM
2026-03-06,11:48:00,BAJAJ-AUTO,Auto,LONG,PDL_BC50,BodyClose50,9854.96,9835.34,9904.02,19.62,25,490.57,9774.82,89.1,1.6,ACTIVE_AM
2026-03-06,11:42:00,HDFCBANK,Banking,SHORT,PDL_BASE,Baseline,863.4,864.44,860.78,1.05,289,302.62,866.15,29.4,1.3,ACTIVE_AM
2026-03-06,11:42:00,HDFCBANK,Banking,SHORT,PDL_BC50,BodyClose50,863.4,864.44,860.78,1.05,289,302.62,866.15,29.4,1.3,ACTIVE_AM
2026-03-06,09:33:00,POWERGRID,Power,LONG,PDL_BASE,Baseline,300.2,299.22,302.63,0.97,770,749.18,299.14,67.3,1.4,ACTIVE_AM
2026-03-06,09:33:00,POWERGRID,Power,LONG,PDL_BC50,BodyClose50,300.2,299.22,302.63,0.97,770,749.18,299.14,67.3,1.4,ACTIVE_AM
2026-03-06,10:45:00,HINDUNILVR,FMCG,SHORT,PDL_BASE,Baseline,2228.06,2231.49,2219.46,3.44,112,385.08,2237.87,25.9,1.0,ACTIVE_AM
2026-03-06,10:45:00,HINDUNILVR,FMCG,SHORT,PDL_BC50,BodyClose50,2228.06,2231.49,2219.46,3.44,112,385.08,2237.87,25.9,1.0,ACTIVE_AM
2026-03-06,09:30:00,AXISBANK,Banking,SHORT,PDL_BASE,Baseline,1334.92,1338.74,1325.35,3.83,187,715.39,1340.05,30.2,0.4,ACTIVE_AM
2026-03-06,09:30:00,AXISBANK,Banking,SHORT,PDL_BC50,BodyClose50,1334.92,1338.74,1325.35,3.83,187,715.39,1340.05,30.2,0.4,ACTIVE_AM
2026-03-06,11:48:00,BAJAJ-AUTO,Auto,LONG,PDL_BASE,Baseline,9854.96,9835.34,9904.02,19.62,25,490.57,9774.82,89.1,1.6,ACTIVE_AM
2026-03-06,11:48:00,BAJAJ-AUTO,Auto,LONG,PDL_BC50,BodyClose50,9854.96,9835.34,9904.02,19.62,25,490.57,9774.82,89.1,1.6,ACTIVE_AM
2026-03-06,11:42:00,HDFCBANK,Banking,SHORT,PDL_BASE,Baseline,863.4,864.44,860.78,1.05,289,302.62,866.15,29.4,1.3,ACTIVE_AM
2026-03-06,11:42:00,HDFCBANK,Banking,SHORT,PDL_BC50,BodyClose50,863.4,864.44,860.78,1.05,289,302.62,866.15,29.4,1.3,ACTIVE_AM
2026-03-06,09:33:00,POWERGRID,Power,LONG,PDL_BASE,Baseline,300.2,299.22,302.63,0.97,770,749.18,299.14,67.3,1.4,ACTIVE_AM
2026-03-06,09:33:00,POWERGRID,Power,LONG,PDL_BC50,BodyClose50,300.2,299.22,302.63,0.97,770,749.18,299.14,67.3,1.4,ACTIVE_AM
