date,time,symbol,sector,direction,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,htf_ema,regime_ema,regime_trend,phase
2026-02-25,10:36:16,ONGC,Energy,LONG,278.4,277.77,279.34,0.63,799,499.39,277.55,68.1,3.1,276.32,267.3,Bullish,ACTIVE_AM
2026-02-25,10:36:17,BAJAJFINSV,Finance,LONG,2068.2,2064.55,2073.68,3.65,120,438.23,2064.85,53.3,1.0,2052.39,2024.17,Bullish,ACTIVE_AM
2026-02-25,11:03:03,HDFCLIFE,Finance,LONG,737.15,735.84,739.11,1.31,339,443.83,737.12,65.5,1.9,,722.64,Bullish,ACTIVE_AM
2026-02-25,11:03:05,HINDALCO,Metals,LONG,942.05,939.71,945.56,2.34,213,498.23,938.6,55.3,1.1,930.26,929.51,Bullish,ACTIVE_AM
2026-02-25,11:03:07,HINDALCO,Metals,LONG,942.05,940.1,944.98,1.95,256,499.6,938.89,55.4,1.4,930.14,929.51,Bullish,ACTIVE_AM
2026-02-25,11:06:08,SBILIFE,Finance,LONG,2102.7,2100.55,2105.93,2.15,118,253.93,2095.82,58.5,1.2,2093.91,2046.51,Bullish,ACTIVE_AM
2026-02-25,11:21:03,HDFCLIFE,Finance,LONG,738.2,737.23,739.65,0.97,338,326.99,738.06,59.3,1.6,,722.64,Bullish,ACTIVE_AM
2026-02-25,11:21:31,HDFCLIFE,Finance,LONG,738.2,737.23,739.65,0.97,338,326.99,738.06,59.3,1.6,,722.64,Bullish,ACTIVE_AM
2026-02-25,11:27:06,HINDALCO,Metals,LONG,941.65,939.44,944.96,2.21,226,498.62,938.94,53.5,3.5,930.26,929.51,Bullish,ACTIVE_AM
2026-02-25,11:27:10,HINDALCO,Metals,LONG,941.65,939.92,944.24,1.73,265,458.24,939.42,53.8,5.0,931.13,929.51,Bullish,ACTIVE_AM
2026-02-25,11:30:03,HDFCLIFE,Finance,LONG,738.0,736.98,739.53,1.02,338,345.79,737.4,65.8,1.7,,722.64,Bullish,ACTIVE_AM
2026-02-25,11:33:06,ONGC,Energy,LONG,277.7,277.35,278.22,0.35,900,314.59,277.66,42.9,1.2,276.81,267.3,Bullish,ACTIVE_AM
2026-02-25,11:33:06,ONGC,Energy,LONG,277.7,277.35,278.22,0.35,900,314.59,277.66,42.9,1.2,276.81,267.3,Bullish,ACTIVE_AM
2026-02-25,11:39:07,BAJAJFINSV,Finance,LONG,2069.0,2066.48,2072.78,2.52,120,302.45,2065.48,62.0,3.0,2056.89,2024.17,Bullish,ACTIVE_AM
2026-02-25,11:48:10,BAJAJFINSV,Finance,LONG,2067.2,2064.57,2071.15,2.63,120,316.0,2065.54,51.5,1.5,2057.82,2024.17,Bullish,ACTIVE_AM
2026-02-25,11:54:03,HDFCLIFE,Finance,LONG,739.25,738.18,740.85,1.07,338,360.33,739.02,49.5,1.6,,,,ACTIVE_AM
2026-02-25,11:57:03,HDFCLIFE,Finance,LONG,739.05,738.06,740.54,0.99,338,336.03,738.86,43.2,1.4,,722.64,Bullish,ACTIVE_AM
2026-02-25,11:59:16,HDFCLIFE,Finance,LONG,739.05,738.06,740.54,0.99,338,336.03,738.86,43.2,1.4,,,,ACTIVE_AM
2026-02-25,14:03:07,TATASTEEL,Metals,LONG,214.66,214.27,215.24,0.39,1164,452.46,214.24,43.0,1.8,213.97,201.39,Bullish,ACTIVE_PM
2026-02-25,14:30:04,M&M,Auto,LONG,3481.2,3475.57,3489.64,5.63,71,399.62,3462.55,57.0,1.1,3452.91,,,ACTIVE_PM
2026-02-25,14:30:13,ONGC,Energy,LONG,276.35,275.89,277.04,0.46,904,414.59,275.24,69.4,1.3,275.98,267.3,Bullish,ACTIVE_PM
2026-02-25,14:53:10,TITAN,Consumer,LONG,4319.5,4315.18,4325.97,4.32,57,246.0,4314.78,43.2,1.4,,4186.73,Bullish,ACTIVE_PM
