date,time,symbol,sector,direction,trigger,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-02-27,10:24:04,BAJAJ-AUTO,Auto,SHORT,PDL,10018.0,10035.37,9991.95,14.47,24,347.34,10044.23,24.7,5.2,ACTIVE_AM
2026-02-27,10:45:04,EICHERMOT,Auto,SHORT,MOM,8067.0,8084.6,8040.6,17.6,28,492.81,8133.67,37.1,2.9,ACTIVE_AM
2026-02-27,11:06:08,HDFCLIFE,Finance,SHORT,MOM,722.2,723.32,720.52,1.12,346,386.94,727.26,26.0,3.5,ACTIVE_AM
2026-02-27,11:36:08,HDFCLIFE,Finance,SHORT,MOM,719.0,720.11,717.33,1.11,347,386.72,726.17,23.6,2.5,ACTIVE_AM
2026-02-27,11:45:07,APOLLOHOSP,Healthcare,LONG,MOM,7808.5,7800.36,7820.71,8.14,32,260.5,7800.98,61.3,2.5,ACTIVE_AM
2026-02-27,10:21:00,BAJAJ-AUTO,Auto,SHORT,PDL,10018.0,10039.71,9980.01,14.47,23,332.87,10044.23,24.7,5.2,ACTIVE_AM
2026-02-27,11:03:00,HDFCLIFE,Finance,SHORT,MOM,722.2,723.54,719.85,1.12,346,386.94,727.26,26.0,3.5,ACTIVE_AM
2026-02-27,14:36:08,SBIN,Banking,LONG,MOM,1206.4,1204.78,1209.24,1.35,207,279.94,1204.21,63.9,2.5,ACTIVE_PM
2026-02-27,10:21:00,BAJAJ-AUTO,Auto,SHORT,PDL,10018.0,10039.71,9980.01,14.47,23,332.87,10044.23,24.7,5.2,ACTIVE_AM
2026-02-27,11:18:00,NESTLEIND,Consumer,SHORT,MOM,1288.9,1291.88,1283.69,2.48,167,414.49,1297.72,23.0,2.5,ACTIVE_AM
2026-02-27,11:48:00,APOLLOHOSP,Healthcare,LONG,MOM,7820.0,7809.8,7837.85,8.5,31,263.47,7803.1,74.7,11.7,ACTIVE_AM
2026-02-27,11:06:00,JIOFIN,Finance,LONG,MOM,257.7,257.15,258.67,0.46,902,416.34,256.85,77.7,2.9,ACTIVE_AM
2026-02-27,11:27:00,POWERGRID,Energy,SHORT,MOM,301.7,302.33,300.59,0.53,790,416.49,302.95,21.4,2.4,ACTIVE_AM
2026-02-27,10:21:00,BAJAJ-AUTO,Auto,SHORT,PDL,10018.0,10039.71,9980.01,14.47,23,332.87,10044.23,24.7,5.2,ACTIVE_AM
2026-02-27,11:18:00,NESTLEIND,Consumer,SHORT,MOM,1288.9,1291.88,1283.69,2.48,167,414.49,1297.72,23.0,2.5,ACTIVE_AM
2026-02-27,11:48:00,APOLLOHOSP,Healthcare,LONG,MOM,7820.0,7809.8,7837.85,8.5,31,263.47,7803.1,74.7,11.7,ACTIVE_AM
2026-02-27,11:06:00,JIOFIN,Finance,LONG,MOM,257.7,257.15,258.67,0.46,902,416.34,256.85,77.7,2.9,ACTIVE_AM
2026-02-27,11:27:00,POWERGRID,Energy,SHORT,MOM,301.7,302.33,300.59,0.53,790,416.49,302.95,21.4,2.4,ACTIVE_AM
