date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-16,09:33:01,BAJAJFINSV,Finance,LONG,PDL_BASE,Baseline,1839.59,1835.73,1845.38,3.86,67,258.59,ACTIVE_AM
2026-04-16,10:03:01,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1232.29,1229.37,1236.68,2.93,101,295.53,ACTIVE_AM
2026-04-16,10:06:01,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1436.56,1441.99,1428.4,5.44,68,369.6,ACTIVE_AM
2026-04-16,10:24:01,AXISBANK,Banking,SHORT,PDL_BASE,Baseline,1348.68,1351.87,1343.9,3.19,92,293.04,ACTIVE_AM
2026-04-16,10:36:01,TRENT,Retail,LONG,PDL_BASE,Baseline,4000.22,3988.02,4018.51,12.19,30,365.84,ACTIVE_AM
2026-04-16,11:48:01,SBIN,Banking,SHORT,PDL_BASE,Baseline,1068.06,1069.45,1065.97,1.39,117,162.73,ACTIVE_AM
2026-04-16,12:06:01,HINDUNILVR,FMCG,SHORT,PDL_BASE,Baseline,2140.68,2142.85,2137.44,2.16,58,125.5,ACTIVE_AM
