date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-01,09:30:02,APOLLOHOSP,Healthcare,LONG,PDL_BASE,Baseline,7512.61,7481.55,7574.73,31.06,4,124.24,ACTIVE_AM
2026-04-01,09:52:13,POWERGRID,Power,LONG,PDL_BASE,Baseline,298.01,296.94,300.14,1.07,140,149.35,ACTIVE_AM
2026-04-01,10:24:01,HDFCLIFE,Insurance,SHORT,PDL_BASE,Baseline,587.64,589.7,583.54,2.05,73,149.74,ACTIVE_AM
2026-04-01,10:45:01,APOLLOHOSP,Healthcare,SHORT,PDL_BASE,Baseline,7358.58,7377.76,7320.23,19.17,6,115.04,ACTIVE_AM
