date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-06,09:33:03,SHRIRAMFIN,Finance,LONG,PDL_BASE,Baseline,895.36,891.79,902.49,3.56,63,224.55,ACTIVE_AM
2026-04-06,09:36:01,POWERGRID,Power,LONG,PDL_BASE,Baseline,292.11,291.0,294.34,1.11,202,224.64,ACTIVE_AM
2026-04-06,10:42:01,BAJAJFINSV,Finance,LONG,PDL_BASE,Baseline,1647.0,1641.98,1657.04,5.02,44,220.85,ACTIVE_AM
2026-04-06,11:54:01,HDFCLIFE,Insurance,LONG,PDL_BASE,Baseline,569.04,567.66,571.1,1.38,131,180.28,ACTIVE_AM
2026-04-06,12:51:02,GRASIM,Cement,LONG,PDL_BASE,Baseline,2575.57,2568.85,2585.66,6.73,29,195.06,ACTIVE_AM
2026-04-06,12:57:01,TCS,IT,LONG,PDL_BASE,Baseline,2470.39,2465.5,2477.71,4.88,30,146.51,ACTIVE_AM
