date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-03-27,09:36:01,SBILIFE,Insurance,SHORT,PDL_BASE,Baseline,1838.73,1843.46,1829.25,4.74,27,127.94,ACTIVE_AM
2026-03-27,09:48:01,SHRIRAMFIN,Finance,SHORT,PDL_BASE,Baseline,916.85,921.38,907.79,4.53,33,149.46,ACTIVE_AM
2026-03-27,10:15:02,HDFCLIFE,Insurance,SHORT,PDL_BASE,Baseline,603.81,605.18,601.07,1.37,82,112.34,ACTIVE_AM
2026-03-27,11:45:02,APOLLOHOSP,Healthcare,LONG,PDL_BASE,Baseline,7613.69,7601.79,7637.5,11.9,6,71.42,ACTIVE_AM
2026-03-27,13:09:01,JSWSTEEL,Steel,SHORT,PDL_BASE,Baseline,1137.11,1139.0,1133.33,1.89,43,81.34,ACTIVE_AM
