date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-12,09:33:01,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1346.58,1349.81,1338.5,3.23,185,597.66,1349.51,26.2,0.8,ACTIVE_AM
2026-03-12,09:33:02,HCLTECH,IT,SHORT,PDL_BC50,BodyClose50,1346.58,1349.81,1338.5,3.23,185,597.66,1349.51,26.2,0.8,ACTIVE_AM
2026-03-12,10:39:02,POWERGRID,Power,LONG,PDL_BASE,Baseline,302.99,302.13,305.13,0.86,825,706.93,299.23,86.0,2.2,ACTIVE_AM
2026-03-12,10:39:02,POWERGRID,Power,LONG,PDL_BC50,BodyClose50,302.99,302.13,305.13,0.86,825,706.93,299.23,86.0,2.2,ACTIVE_AM
2026-03-12,11:15:01,JSWSTEEL,Steel,SHORT,PDL_BASE,Baseline,1170.7,1173.7,1163.19,3.0,213,639.55,1160.02,60.7,0.4,ACTIVE_AM
2026-03-12,11:15:02,JSWSTEEL,Steel,SHORT,PDL_BC50,BodyClose50,1170.7,1173.7,1163.19,3.0,213,639.55,1160.02,60.7,0.4,ACTIVE_AM
