date,time,symbol,sector,direction,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,htf_ema,regime_ema,regime_trend,phase
2026-02-24,11:33:03,TATASTEEL,Metals,LONG,208.43,208.22,208.75,0.21,1199,256.36,208.4,68.4,1.4,208.05,201.3,Bullish,ACTIVE_AM
2026-02-24,11:39:06,BAJAJFINSV,Finance,LONG,2045.0,2042.28,2049.07,2.72,122,331.36,2038.74,65.3,1.2,2044.15,2023.23,Bullish,ACTIVE_AM
2026-02-24,11:42:03,HDFCLIFE,Finance,LONG,738.95,738.14,740.16,0.81,338,273.39,738.89,47.8,1.2,,722.97,Bullish,ACTIVE_AM
2026-02-24,14:03:03,TATASTEEL,Metals,LONG,208.24,207.99,208.61,0.25,1200,294.52,208.19,62.5,2.0,208.0,201.3,Bullish,ACTIVE_PM
2026-02-24,14:03:06,ONGC,Energy,LONG,275.8,275.24,276.64,0.56,893,499.97,275.19,66.7,5.2,274.83,267.06,Bullish,ACTIVE_PM
2026-02-24,14:32:10,ONGC,Energy,LONG,276.45,275.76,277.48,0.69,727,499.88,275.23,69.5,1.2,274.93,267.06,Bullish,ACTIVE_PM
2026-02-24,14:48:04,TATASTEEL,Metals,LONG,208.7,208.41,209.13,0.29,1197,342.44,208.24,64.0,1.2,208.17,201.3,Bullish,ACTIVE_PM
2026-02-24,14:48:06,ADANIPORTS,Conglomerate,LONG,1548.9,1546.31,1552.79,2.59,161,417.78,1544.36,65.8,1.2,,1513.53,Bullish,ACTIVE_PM
2026-02-24,14:51:06,BAJAJFINSV,Finance,LONG,2046.4,2043.7,2050.45,2.7,122,329.03,2041.2,66.9,1.6,2042.68,2023.23,Bullish,ACTIVE_PM
