date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-19,09:33:01,JSWSTEEL,Steel,SHORT,PDL_BASE,Baseline,1159.67,1163.99,1151.03,4.32,173,747.14,1159.37,21.6,1.1,ACTIVE_AM
2026-03-19,09:54:01,POWERGRID,Power,SHORT,PDL_BASE,Baseline,297.46,298.39,295.6,0.93,805,749.41,298.41,36.9,0.4,ACTIVE_AM
2026-03-19,10:15:02,HINDALCO,Metals,SHORT,PDL_BASE,Baseline,922.72,925.56,917.02,2.85,263,748.71,923.91,37.3,0.4,ACTIVE_AM
2026-03-19,10:51:02,INFY,IT,SHORT,PDL_BASE,Baseline,1234.67,1236.93,1230.15,2.26,202,456.56,1241.02,19.4,1.9,ACTIVE_AM
