date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-09,09:33:01,SBIN,Banking,SHORT,PDL_BASE,Baseline,1059.17,1062.01,1054.9,2.84,70,199.05,ACTIVE_AM
2026-04-09,09:39:01,HDFCLIFE,Insurance,SHORT,PDL_BASE,Baseline,591.87,593.63,589.23,1.76,126,221.73,ACTIVE_AM
2026-04-09,09:42:01,TRENT,Retail,SHORT,PDL_BASE,Baseline,3890.59,3902.66,3872.49,12.07,18,217.25,ACTIVE_AM
2026-04-09,09:45:01,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1205.09,1200.2,1212.42,4.89,46,224.85,ACTIVE_AM
2026-04-09,10:36:01,AXISBANK,Banking,LONG,PDL_BASE,Baseline,1335.91,1332.85,1340.49,3.05,56,171.02,ACTIVE_AM
2026-04-09,12:45:01,HINDUNILVR,FMCG,SHORT,PDL_BASE,Baseline,2129.73,2132.41,2125.71,2.68,35,93.75,ACTIVE_AM
