date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-02,10:24:01,NESTLEIND,FMCG,SHORT,PDL_BASE,Baseline,1166.82,1169.62,1161.23,2.8,42,117.48,ACTIVE_AM
2026-04-02,12:18:02,APOLLOHOSP,Healthcare,SHORT,PDL_BASE,Baseline,7249.39,7260.49,7227.18,11.11,6,66.63,ACTIVE_AM
2026-04-02,13:30:02,NESTLEIND,FMCG,LONG,PDL_BASE,Baseline,1191.83,1189.51,1196.49,2.33,41,95.4,ACTIVE_AM
2026-04-02,14:12:02,TRENT,Retail,LONG,PDL_BASE,Baseline,3540.96,3530.37,3562.14,10.59,14,148.26,ACTIVE_AM
