date,time,symbol,sector,direction,trigger,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-04,10:51:01,POWERGRID,Power,LONG,MOM,290.9,289.9,292.64,0.83,628,624.96,290.4,50.1,2.6,ACTIVE_AM
2026-03-04,11:33:01,BAJAJ-AUTO,Auto,SHORT,PDL,9560.0,9587.12,9512.53,18.08,23,623.86,9612.74,28.3,1.7,ACTIVE_AM
2026-03-04,11:54:01,BAJFINANCE,Finance,LONG,MOM,952.95,950.5,957.24,2.04,255,624.6,948.73,62.3,2.0,ACTIVE_AM
2026-03-04,11:54:01,BAJFINANCE,Finance,LONG,MOM,952.95,950.58,957.1,1.98,262,621.03,949.44,63.3,2.0,ACTIVE_AM
