date,time,symbol,sector,direction,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,htf_ema,regime_ema,regime_trend,phase
2026-02-23,11:03:04,TITAN,Consumer,LONG,4267.5,4261.59,4276.36,5.91,58,342.55,4257.89,63.0,2.8,,4174.77,Bullish,ACTIVE_AM
2026-02-23,11:18:04,TITAN,Consumer,LONG,4271.2,4265.65,4279.53,5.55,58,322.13,4258.81,64.3,2.4,,4174.77,Bullish,ACTIVE_AM
2026-02-23,11:18:06,ADANIPORTS,Conglomerate,LONG,1554.2,1550.16,1560.26,4.04,123,496.75,1550.56,60.6,2.5,,1510.76,Bullish,ACTIVE_AM
2026-02-23,11:24:03,HDFCLIFE,Finance,LONG,742.75,741.56,744.54,1.19,336,400.28,741.56,50.5,1.6,,721.58,Bullish,ACTIVE_AM
2026-02-23,11:39:04,TITAN,Consumer,LONG,4270.6,4265.11,4278.84,5.49,58,318.57,4260.23,56.6,1.0,,4174.77,Bullish,ACTIVE_AM
2026-02-23,14:00:06,ONGC,Energy,LONG,273.8,273.39,274.42,0.41,913,378.22,273.41,67.4,1.3,273.33,266.1,Bullish,ACTIVE_PM
2026-02-23,14:09:06,HINDALCO,Metals,SHORT,909.1,910.95,906.33,1.85,270,499.29,923.61,32.6,2.2,921.58,931.56,Bearish,ACTIVE_PM
2026-02-23,14:15:07,SBILIFE,Finance,LONG,2114.8,2111.27,2120.09,3.53,118,416.32,2112.26,61.4,3.4,2108.43,2043.48,Bullish,ACTIVE_PM
2026-02-23,14:18:05,ONGC,Energy,LONG,273.85,273.4,274.52,0.45,912,409.09,273.42,61.2,2.4,273.4,266.1,Bullish,ACTIVE_PM
2026-02-23,14:27:03,HDFCLIFE,Finance,LONG,743.15,742.24,744.51,0.91,336,304.47,742.38,60.6,1.5,,721.58,Bullish,ACTIVE_PM
2026-02-23,14:36:03,TATASTEEL,Metals,LONG,207.86,207.56,208.3,0.3,1202,355.01,207.74,60.3,1.4,207.67,200.51,Bullish,ACTIVE_PM
2026-02-23,14:39:05,ONGC,Energy,LONG,274.15,273.68,274.86,0.47,911,432.31,273.47,58.9,1.1,273.47,266.1,Bullish,ACTIVE_PM
2026-02-23,14:39:08,SBILIFE,Finance,LONG,2112.5,2108.88,2117.93,3.62,118,427.29,2112.45,48.3,2.3,2109.47,2043.48,Bullish,ACTIVE_PM
2026-02-23,14:45:05,ADANIPORTS,Conglomerate,LONG,1551.8,1549.03,1555.95,2.77,161,445.57,1549.8,65.8,2.5,,1510.76,Bullish,ACTIVE_PM
2026-02-23,14:57:05,ONGC,Energy,LONG,274.95,274.36,275.84,0.59,841,499.52,273.54,65.7,1.6,273.52,266.1,Bullish,ACTIVE_PM
