symbol,variant,total_trades,won,lost,win_rate,net_pnl,profit_factor,avg_win,avg_loss,max_drawdown_pct,sharpe,exits_sl,exits_tp,exits_tp2,exits_sl_breakeven,exits_squareoff,tp1_hits
ONGC,all_filters,13,5,8,38.46,-465.51,0.85,546.04,-399.46,2.86,-0.196,8,5,0,0,0,0
ONGC,scale_out,25,13,12,52.0,247.19,1.05,397.76,-410.3,2.86,0.092,12,0,6,6,1,13
ONGC,scale_combo,11,5,6,45.45,-958.96,0.62,315.74,-422.94,2.77,-0.552,6,0,2,3,0,5
BAJAJFINSV,baseline,23,12,11,52.17,1459.02,1.33,486.62,-398.22,3.45,0.919,11,11,0,0,1,0
BAJAJFINSV,rsi_tight,32,12,20,37.5,-1965.82,0.74,462.9,-376.03,5.92,-3.117,20,11,0,0,1,0
BAJAJFINSV,vwap_ext,14,8,6,57.14,1334.09,1.59,450.21,-377.93,1.74,2.685,6,7,0,0,1,0
BAJAJFINSV,vol_cap,18,11,7,61.11,2961.13,2.2,493.34,-352.23,2.03,2.723,7,10,0,0,1,0
BAJAJFINSV,gap_filter,23,12,11,52.17,1459.02,1.33,486.62,-398.22,3.45,0.919,11,11,0,0,1,0
BAJAJFINSV,pdhl,23,12,11,52.17,1459.02,1.33,486.62,-398.22,3.45,0.919,11,11,0,0,1,0
BAJAJFINSV,all_filters,15,7,8,46.67,1136.03,1.45,523.5,-316.06,3.13,4.281,8,7,0,0,0,0
BAJAJFINSV,scale_out,23,14,9,60.87,1772.29,1.52,369.23,-377.44,2.69,0.97,9,0,6,7,1,13
BAJAJFINSV,scale_combo,16,10,6,62.5,1099.82,1.59,295.69,-309.51,1.75,3.649,6,0,3,6,1,9
HINDALCO,baseline,31,14,17,45.16,669.33,1.09,563.45,-424.64,5.54,0.718,16,12,0,0,3,0
HINDALCO,rsi_tight,35,17,18,48.57,2441.8,1.31,607.15,-437.76,4.37,1.523,17,15,0,0,3,0
HINDALCO,vwap_ext,11,6,5,54.55,2047.82,1.95,701.55,-432.3,1.7,2.602,5,6,0,0,0,0
HINDALCO,vol_cap,30,14,16,46.67,1068.65,1.16,566.62,-429.0,5.54,0.802,15,12,0,0,3,0
HINDALCO,gap_filter,31,14,17,45.16,669.33,1.09,563.45,-424.64,5.54,0.718,16,12,0,0,3,0
HINDALCO,pdhl,31,14,17,45.16,669.33,1.09,563.45,-424.64,5.54,0.718,16,12,0,0,3,0
HINDALCO,all_filters,11,6,5,54.55,2047.82,1.95,701.55,-432.3,1.7,2.602,5,6,0,0,0,0
HINDALCO,scale_out,31,17,14,54.84,587.49,1.1,388.41,-429.67,5.62,0.346,13,0,6,8,4,16
HINDALCO,scale_combo,11,7,4,63.64,1218.1,1.72,414.92,-421.58,2.59,1.658,4,0,2,5,0,7
SBILIFE,baseline,37,17,20,45.95,17.76,1.0,397.96,-337.38,5.22,-0.193,19,13,0,0,5,0
SBILIFE,rsi_tight,41,20,21,48.78,1536.66,1.21,434.46,-340.6,5.28,1.244,20,15,0,0,5,0
SBILIFE,vwap_ext,19,8,11,42.11,-493.28,0.88,444.47,-368.09,3.36,-0.733,11,7,0,0,1,0
SBILIFE,vol_cap,34,17,17,50.0,1269.32,1.24,387.47,-312.8,4.87,5.212,16,13,0,0,5,0
SBILIFE,gap_filter,37,17,20,45.95,17.76,1.0,397.96,-337.38,5.22,-0.193,19,13,0,0,5,0
SBILIFE,pdhl,35,16,19,45.71,-114.49,0.98,401.78,-344.37,5.47,-0.812,18,12,0,0,5,0
SBILIFE,all_filters,18,9,9,50.0,917.49,1.31,429.94,-328.0,2.64,3.223,9,8,0,0,1,0
SBILIFE,scale_out,37,22,15,59.46,165.95,1.03,256.82,-365.6,4.36,0.254,15,0,6,13,2,20
SBILIFE,scale_combo,18,10,8,55.56,-302.35,0.89,241.61,-339.81,3.19,-0.494,8,0,3,5,2,9
